Price,Close,High,Low,Open,Volume
2025-04-02,116345.0,116355.0,116135.0,116135.0,70
2025-04-03,116655.0,116790.0,116550.0,116740.0,282
2025-04-04,116735.0,116975.0,116505.0,116505.0,1283
2025-04-07,117025.0,117130.0,116865.0,117130.0,1254
2025-04-08,116810.0,116810.0,116390.0,116390.0,309
2025-04-09,116475.0,116710.0,116295.0,116485.0,728
2025-04-10,117040.0,117100.0,116910.0,116965.0,90
2025-04-11,116975.0,116980.0,116745.0,116745.0,377
2025-04-14,117000.0,117015.0,116885.0,116985.0,746
2025-04-15,117220.0,117295.0,117140.0,117150.0,1231
2025-04-16,117415.0,117415.0,117320.0,117375.0,593
2025-04-17,117450.0,117575.0,117425.0,117550.0,233
2025-04-18,117640.0,117725.0,117410.0,117410.0,329
2025-04-21,117770.0,117860.0,117650.0,117650.0,923
2025-04-22,117655.0,117865.0,117655.0,117760.0,296
2025-04-23,117865.0,117930.0,117820.0,117860.0,186
2025-04-24,117800.0,118215.0,117800.0,118215.0,133
2025-04-25,118125.0,118185.0,118000.0,118000.0,382
2025-04-28,118115.0,118295.0,118115.0,118245.0,825
2025-04-29,118025.0,118140.0,117980.0,118060.0,322
2025-04-30,118405.0,118460.0,118220.0,118225.0,226
2025-05-02,118050.0,118135.0,118005.0,118100.0,466
2025-05-07,118050.0,118095.0,117970.0,118070.0,745
2025-05-08,117940.0,118335.0,117890.0,118275.0,1743
2025-05-09,117595.0,117725.0,117595.0,117725.0,1315
2025-05-12,117520.0,117685.0,117450.0,117585.0,92
2025-05-13,117305.0,117430.0,117260.0,117360.0,555
2025-05-14,117340.0,117390.0,117220.0,117250.0,342
2025-05-15,117315.0,117365.0,117290.0,117290.0,197
2025-05-16,117810.0,117810.0,117705.0,117720.0,159
2025-05-19,117300.0,117630.0,117300.0,117625.0,557
2025-05-20,117650.0,117755.0,117525.0,117725.0,192
2025-05-21,117345.0,117515.0,117175.0,117515.0,384
2025-05-22,117305.0,117305.0,117070.0,117080.0,182
2025-05-23,117175.0,117310.0,117110.0,117310.0,269
2025-05-26,117350.0,117615.0,117270.0,117270.0,124
2025-05-27,117805.0,117805.0,117555.0,117650.0,67
2025-05-28,117735.0,117845.0,117710.0,117805.0,122
2025-05-29,117480.0,117850.0,117480.0,117645.0,335
2025-05-30,117175.0,117835.0,117175.0,117835.0,74
2025-06-02,117155.0,117255.0,117060.0,117190.0,344
2025-06-04,116470.0,116865.0,116250.0,116865.0,2863
2025-06-05,116350.0,116600.0,116350.0,116600.0,508
2025-06-09,116500.0,116500.0,116150.0,116180.0,901
2025-06-10,116450.0,116620.0,116335.0,116620.0,861
2025-06-11,116355.0,116510.0,116355.0,116440.0,346
2025-06-12,116440.0,116555.0,116440.0,116505.0,627
2025-06-13,116450.0,116875.0,116375.0,116650.0,680
2025-06-16,116390.0,116435.0,116065.0,116155.0,620
2025-06-17,116380.0,116710.0,116380.0,116410.0,539
2025-06-18,116465.0,116620.0,116435.0,116615.0,45
2025-06-19,116440.0,116510.0,116410.0,116440.0,220
2025-06-20,116310.0,116445.0,116275.0,116445.0,471
2025-06-23,116600.0,116690.0,116420.0,116625.0,543
2025-06-24,116850.0,116925.0,116675.0,116675.0,1141
2025-06-25,116865.0,116975.0,116770.0,116960.0,221
2025-06-26,116935.0,116935.0,116805.0,116830.0,304
2025-06-27,116905.0,117130.0,116825.0,117040.0,116
2025-06-30,116850.0,117050.0,116850.0,116905.0,229
2025-07-01,116985.0,117060.0,116780.0,116950.0,335
2025-07-02,116695.0,117000.0,116655.0,116905.0,533
2025-07-03,116830.0,116870.0,116595.0,116685.0,340
2025-07-04,116830.0,116835.0,116735.0,116755.0,161
2025-07-07,116655.0,116730.0,116655.0,116720.0,846
2025-07-08,116585.0,116740.0,116585.0,116605.0,241
2025-07-09,116545.0,116630.0,116520.0,116630.0,15
2025-07-10,117010.0,117075.0,116855.0,116880.0,448
2025-07-11,117040.0,117155.0,116960.0,116960.0,99
2025-07-14,116585.0,116850.0,116585.0,116770.0,505
2025-07-15,116745.0,116745.0,116575.0,116690.0,156
2025-07-16,116635.0,116645.0,116470.0,116510.0,406
2025-07-17,116420.0,116695.0,116420.0,116600.0,622
2025-07-18,116817.0,116885.0,116670.0,116710.0,290
2025-07-21,116910.0,116910.0,116745.0,116765.0,170
2025-07-22,117180.0,117180.0,116945.0,117000.0,203
2025-07-23,117085.0,117140.0,117000.0,117055.0,178
2025-07-24,116905.0,117080.0,116905.0,117080.0,283
2025-07-25,116880.0,116990.0,116880.0,116935.0,358
2025-07-28,117045.0,117070.0,116765.0,116880.0,1834
2025-07-29,117045.0,117155.0,116960.0,116960.0,421
2025-07-30,117250.0,117320.0,117245.0,117320.0,89
2025-07-31,117170.0,117225.0,117030.0,117030.0,422
2025-08-01,116890.0,117060.0,116890.0,117050.0,529
2025-08-04,117480.0,117635.0,117480.0,117580.0,286
2025-08-05,117640.0,117757.0,117605.0,117665.0,233
2025-08-06,117590.0,117760.0,117580.0,117580.0,787
2025-08-07,117570.0,117670.0,117540.0,117570.0,130
2025-08-08,117620.0,117670.0,117620.0,117650.0,124
2025-08-11,117485.0,117570.0,117460.0,117485.0,411
2025-08-12,117330.0,117415.0,117320.0,117415.0,305
2025-08-13,117165.0,117300.0,117125.0,117275.0,341
2025-08-14,117445.0,117515.0,117445.0,117470.0,133
2025-08-18,117100.0,117185.0,117060.0,117185.0,412
2025-08-19,116965.0,117125.0,116945.0,117040.0,191
2025-08-20,117035.0,117095.0,116985.0,117060.0,1006
2025-08-21,117105.0,117165.0,117070.0,117165.0,497
2025-08-22,117005.0,117065.0,116990.0,117010.0,1752
2025-08-25,117105.0,117230.0,117095.0,117190.0,475
2025-08-26,117000.0,117145.0,116935.0,117070.0,459
2025-08-27,117270.0,117290.0,117160.0,117160.0,584
2025-08-28,117385.0,117445.0,117335.0,117335.0,3848
2025-08-29,117280.0,117300.0,117180.0,117240.0,385
2025-09-01,116990.0,117210.0,116985.0,117145.0,846
2022-05-31,96957.046875,97360.69009567637,96957.046875,97360.69009567637,2302
2022-06-02,96548.5390625,96752.7922554998,96456.1388085239,96752.7922554998,189
2022-06-03,96913.2734375,96913.2734375,96567.98829026683,96694.4307385494,42
2022-06-07,96723.609375,96908.40987559078,96723.609375,96908.40987559078,432
2022-06-08,96733.34375,96903.55475152079,96723.61740705595,96854.92303680057,425
2022-06-09,96981.359375,97146.70719461438,96835.46424004613,97078.62279830257,3351
2022-06-10,97326.640625,97467.67258313346,97229.37720559762,97287.73525723905,1278
2022-06-13,97720.5625,97774.05738342291,97175.88732333035,97331.50880237883,936
2022-06-14,97623.296875,97788.64469276178,97365.54880613604,97365.54880613604,774
2022-06-15,96976.4921875,97657.33612242051,96976.4921875,97652.4729514568,573
2022-06-16,96898.6875,97389.86779799248,96898.6875,97389.86779799248,3178
2022-06-17,96553.3984375,96918.13626780183,96553.3984375,96918.13626780183,407
2022-06-20,96169.2109375,96762.51782672251,96169.2109375,96762.51782672251,194
2022-06-21,96101.1328125,96373.47041876992,95843.38472085168,96373.47041876992,1723
2022-06-22,97263.421875,97263.421875,96067.0817859375,96149.75569453125,152
2022-06-23,96937.59375,97229.38402868359,96937.59375,97064.03620409622,392
2022-06-24,97102.9375,97360.68556868834,96976.4950512095,97136.97969775129,710
2022-06-27,97083.4921875,97438.50370529229,97083.4921875,97122.39755931286,276
2022-06-28,97297.46875,97419.04803318839,97098.07872557105,97098.07872557105,129
2022-06-29,97555.21875,97574.67143569293,97438.50263584248,97443.3658072657,141
2022-06-30,97978.3125,98022.08104184245,97944.2703007892,97988.03884263166,463
2022-07-01,98138.796875,98328.46055577924,97876.18562469029,98328.46055577924,362
2022-07-04,98085.296875,98756.41447967797,98012.34930927413,98756.41447967797,818
2022-07-05,98537.578125,98537.578125,97847.007791679,98396.54615551895,423
2022-07-06,98479.2109375,98965.52802854938,98430.57922839506,98965.52802854938,490
2022-07-07,98459.765625,98722.37687382693,98459.765625,98527.85002284402,143
2022-07-08,98415.9921875,98586.20317364234,98381.94999027153,98450.03438472847,35
2022-07-11,98119.34375,98440.31305449543,98119.34375,98328.46011505005,550
2022-07-12,98240.921875,98532.71214837756,98119.34259442602,98532.71214837756,189
2022-07-13,98333.328125,98566.76035793769,98260.38055220697,98260.38055220697,251
2022-07-14,98304.140625,98576.47820662659,98206.87720299051,98576.47820662659,222
2022-07-15,98367.359375,98537.57035923518,98357.6330330437,98537.57035923518,286
2022-07-18,98527.84375,98795.31815307256,98450.03301456071,98668.87570798371,508
2022-07-19,98673.7421875,98673.7421875,98454.89948673916,98454.89948673916,73
2022-07-20,98381.9609375,98790.46734969724,98192.29724612272,98790.46734969724,948
2022-07-21,98343.046875,98503.53152275368,98274.96247898329,98484.07883817748,578
2022-07-22,98941.21875,98941.21875,98664.01798967806,98805.04995545589,330
2022-07-25,99091.9765625,99237.87169878164,99009.3026519404,99009.3026519404,452
2022-07-26,99072.5234375,99198.96588838234,98897.44927473985,99038.48123918552,539
2022-07-27,98989.8515625,99087.11498825534,98950.94619219787,99087.11498825534,490
2022-07-28,98892.5859375,99500.48233495206,98557.02712610648,99500.48233495206,220
2022-07-29,99553.9765625,99553.9765625,97321.78100575204,97321.78100575204,571
2022-08-01,99315.6875,99670.6990163794,99237.87675668397,99670.6990163794,369
2022-08-02,99553.9765625,99558.83973364759,99437.26045495762,99437.26045495762,160
2022-08-03,99077.390625,99354.59139394051,99033.62208253572,99354.59139394051,254
2022-08-04,98819.640625,99267.05238373524,98819.640625,99267.05238373524,556
2022-08-05,99340.0,99340.0,98571.61893572233,99057.93606501199,329
2022-08-08,99247.6015625,99344.86499013867,99247.6015625,99330.27547599286,113
2022-08-09,99476.1640625,106012.2659691243,99349.72161490162,106012.2659691243,192
2022-08-10,99315.6875,99485.89850100382,99267.05578542748,99485.89850100382,550
2022-08-11,99340.0,99500.48465266559,99276.77877319235,99422.67391197925,444
2022-08-12,98965.5390625,99271.91886402026,98941.22320523649,99271.91886402026,220
2022-08-16,99845.765625,99845.765625,99651.23878144634,99729.0495188678,130
2022-08-17,99889.53125,100050.01589124878,99767.95197632667,99782.54148916747,304
2022-08-18,99699.875,99855.49648187893,99636.65377298668,99719.32768523486,263
2022-08-19,99695.015625,99821.45808384147,99481.03607926829,99821.45808384147,134
2022-08-22,99690.1484375,99690.1484375,99442.1267013025,99626.92721062613,137
2022-08-23,99505.3515625,99651.24670676836,99446.99350479266,99651.24670676836,256
2022-08-24,99408.0859375,99597.74962086004,99364.31739518614,99524.80205033693,119
2022-08-25,99393.5,99631.79540561698,99393.5,99412.95268617281,121
2022-08-26,99500.484375,99597.74780058651,99451.85266220674,99583.15828674854,107
2022-08-29,98814.7734375,98999.57393903182,98751.55221329174,98999.57393903182,591
2022-08-30,98746.6875,99023.88824796847,98673.73993474513,98955.8038537306,323
2022-08-31,98440.3125,98741.82911767613,95002.05042424168,98741.82911767613,369
2022-09-01,98270.1015625,98435.44938519139,98138.795938598,98435.44938519139,338
2022-09-02,98445.1796875,98518.12725926863,98445.1796875,98474.35871620745,134
2022-09-05,99072.5234375,99082.24977987556,98829.3648781109,98834.22804929868,710
2022-09-06,98892.5859375,99111.42864058274,98892.5859375,99111.42864058274,83
2022-09-07,98897.453125,98897.453125,98586.21015686468,98839.09506847463,521
2022-09-08,99155.203125,99203.83483971136,98999.58163792363,98999.58163792363,165
2022-09-13,99330.2734375,99330.2734375,99004.44096159731,99004.44096159731,118
2022-09-14,99198.96875,99344.86388984213,99048.21043882979,99344.86388984213,51
2022-09-15,98863.40625,99704.73485845345,98863.40625,99704.73485845345,50
2022-09-16,98805.0546875,98892.59177389933,98805.0546875,98839.09688776641,63
2022-09-19,98732.1015625,98946.0810949968,98732.1015625,98946.0810949968,168
2022-09-20,98571.6171875,98829.36526145221,98571.6171875,98805.04940541899,128
2022-09-21,98090.1640625,98522.98630352938,98090.1640625,98522.98630352938,233
2022-09-22,97808.1015625,98090.16549898691,97793.51204854378,98090.16549898691,115
2022-09-23,97248.8359375,97419.04693203981,97005.6773738717,97341.23619167875,246
2022-09-26,96188.6640625,97015.40317421571,96188.6640625,97015.40317421571,284
2022-09-27,96402.6484375,96402.6484375,95785.02565832618,95785.02565832618,188
2022-09-28,96597.1640625,96597.1640625,95809.33037281944,96592.30089157604,2183
2022-09-29,97112.671875,97749.74734275627,97112.671875,97365.55679349868,415
2022-09-30,97589.2578125,97715.7002654389,97414.18364689228,97414.18364689228,102
2022-10-04,98493.8046875,98493.8046875,98182.56173583852,98182.56173583852,270
2022-10-05,98129.0703125,98479.21864546165,98129.0703125,98445.1764464237,64
2022-10-06,97725.421875,97827.54846665837,97647.61113849838,97812.95895356432,179
2022-10-07,96752.7890625,97171.02177722103,96704.15735148592,97171.02177722103,22
2022-10-11,96232.4296875,96713.88362620339,95498.0908516999,96713.88362620339,353
2022-10-12,96752.7890625,96786.83126020984,96232.4297546494,96324.83000557615,110
2022-10-13,96290.7890625,96762.51666548295,96290.7890625,96762.51666548295,133
2022-10-14,96558.265625,96558.265625,96363.73877408083,96363.73877408083,38
2022-10-17,96237.296875,96358.87615752438,95974.68562474733,96334.5603010195,1022
2022-10-18,96378.328125,96456.13886523615,96198.3907882039,96456.13886523615,30
2022-10-19,95979.546875,96485.31668017835,95857.96759490905,96485.31668017835,325
2022-10-20,95770.4375,96169.21756779059,95770.4375,95799.61652935053,1606
2022-10-21,94754.03125,95541.86501424246,94754.03125,95541.86501424246,586
2022-10-24,95537.0,95585.63171290404,95254.93606515652,95254.93606515652,121
2022-10-25,96222.703125,96222.703125,95405.69038240422,95405.69038240422,90
2022-10-26,96937.59375,96937.59375,96222.70756722521,96295.65513689611,129
2022-10-27,96869.5078125,97010.53977828957,96869.5078125,96913.27635360711,71
2022-10-28,97380.140625,97389.86696745155,96986.2237557119,96986.2237557119,334
2022-10-31,97010.5390625,97171.02371204193,97010.5390625,97171.02371204193,145
2022-11-01,97569.8046875,97647.61542741925,97117.52976171934,97117.52976171934,1027
2022-11-02,97657.3359375,97657.3359375,97579.52520222786,97579.52520222786,282
2022-11-03,97302.328125,97555.21302416534,97302.328125,97540.62351075195,82
2022-11-04,97336.375,97341.23817137147,97117.5322882838,97341.23817137147,22
2022-11-07,96869.5078125,97282.87736740048,96796.56024398816,97282.87736740048,26
2022-11-08,96947.3203125,97136.9839940745,96845.19371472912,96845.19371472912,40
2022-11-09,97350.9609375,97385.0031358496,97282.87654080077,97346.0977663072,30
2022-11-10,97837.28125,97876.18662081221,97535.76462620539,97603.84902512675,91
2022-11-11,98751.5546875,99111.42935739437,97895.63655369719,97895.63655369719,393
2022-11-14,98795.3203125,98897.44690499631,98722.37274643121,98829.36250999877,150
2022-11-15,99203.8359375,99203.8359375,98878.0034453282,98878.0034453282,49
2022-11-16,99033.6171875,99383.76550990719,99033.6171875,99383.76550990719,134
2022-11-17,99315.6875,99446.9931293458,99242.73992814122,99364.31921457252,160
2022-11-18,99403.21875,99403.21875,99203.8287319594,99276.77629953522,184
2022-11-21,99500.484375,99500.484375,99349.72606534092,99349.72606534092,47
2022-11-22,99218.421875,99461.58044248112,99135.74796205641,99461.58044248112,62
2022-11-23,99067.65625,99242.73040566246,98892.58209433754,99242.73040566246,52
2022-11-24,99806.8671875,99977.07818742996,99485.89787334637,99485.89787334637,72
2022-11-25,99889.53125,99894.39442094693,99607.46733507789,99870.07856621227,36
2022-11-28,99680.4140625,99889.53041146266,99651.23503706335,99840.89870240158,68
2022-11-29,99515.0703125,99704.73398557762,99442.12274593167,99704.73398557762,403
2022-11-30,99578.296875,99636.65493138308,99578.296875,99636.65493138308,255
2022-12-01,100064.609375,100132.69377095888,99928.44058308224,100064.609375,1226
2022-12-02,100443.9375,100443.9375,100225.09479701269,100254.27382407767,381
2022-12-05,100434.2109375,100818.40145968006,100434.2109375,100818.40145968006,92
2022-12-06,100502.296875,100570.38127237976,100424.48613513743,100434.21247762025,85
2022-12-07,100536.3359375,100584.96764839705,100453.66202897498,100560.65179294853,2458
2022-12-08,100628.7421875,100901.07978475982,100584.97364508324,100901.07978475982,166
2022-12-09,100794.0859375,100794.0859375,100633.60128846316,100633.60128846316,120
2022-12-12,100832.9921875,100832.9921875,100604.42313990608,100638.46533848389,461
